"","PlayerName","pos","points","value"
"141","Adrian Peterson","rb",201.42,77.6298034776215
"459","Antonio Brown","wr",146.74,75.2666332104461
"37","Cam Newton","qb",330.632,74.699886030397
"142","Todd Gurley","rb",198.005,74.0979757041405
"38","Aaron Rodgers","qb",325.986,69.8949455221706
"461","Odell Beckham Jr.","wr",138.855,67.1118859208712
"143","Jamaal Charles","rb",190.29,66.1190441456028
"39","Russell Wilson","qb",317.156,60.762869610066
"460","Julio Jones","wr",132.535,60.5756775670206
"144","David Johnson","rb",183.78,59.3863358570635
"145","Lamar Miller","rb",181.915,57.4575338665681
"329","Rob Gronkowski","te",114.95,57.1627839645352
"462","DeAndre Hopkins","wr",128.56,56.4646920912996
"147","Ezekiel Elliott","rb",172.825,48.0565633069948
"463","Dez Bryant","wr",120.155,47.7721555067877
"146","Le'Veon Bell","rb",170.18,45.3210773740937
"40","Andrew Luck","qb",301.58,44.6540118063351
"464","A.J. Green","wr",116.775,44.2765250896966
"465","Jordy Nelson","wr",114.615,42.0426310953426
"150","Eddie Lacy","rb",164.77,39.7260002863829
"149","LeSean McCoy","rb",164.065,38.9968821076701
"148","Devonta Freeman","rb",162.295,37.1663300845189
"152","Doug Martin","rb",161.83,36.6854223496232
"467","Allen Robinson","wr",109.28,36.5251197713246
"466","Alshon Jeffery","wr",108.915,36.1476330546861
"41","Drew Brees","qb",293.022,35.8032410638898
"151","Mark Ingram","rb",160.26,35.0617123629862
"153","Thomas Rawls","rb",158.4,33.1380814234036
"470","Brandon Marshall","wr",105.195,32.3003711755208
"471","Sammy Watkins","wr",104.38,31.4574898767252
"468","Mike Evans","wr",103.93,30.9920952945681
"469","T.Y. Hilton","wr",103.875,30.9352137345267
"473","Brandin Cooks","wr",103.055,30.0871613848182
"475","Randall Cobb","wr",100.625,27.5740306411699
"330","Greg Olsen","te",86.065,27.2896228409628
"331","Jordan Reed","te",84.965,26.1519916401343
"474","Demaryius Thomas","wr",98.515,25.3918471559444
"472","Keenan Allen","wr",98.33,25.2005182721688
"154","C.J. Anderson","rb",150.68,25.153978813953
"476","Amari Cooper","wr",97.015,23.8405318820875
"42","Ben Roethlisberger","qb",281.088,23.4609767450838
"479","Doug Baldwin","wr",95.07,21.8289930769863
"480","Kelvin Benjamin","wr",94.98,21.7359141605548
"478","Eric Decker","wr",94.74,21.4877037167377
"477","Jeremy Maclin","wr",94.075,20.7999539453278
"1","Stephen Gostkowski","k",154,20.5465724505978
"157","Carlos Hyde","rb",145.47,19.7657437627565
"158","Jonathan Stewart","rb",144.01,18.2557968962024
"156","Latavius Murray","rb",143.575,17.8059154667838
"483","Michael Floyd","wr",90.74,17.3508629864525
"484","Julian Edelman","wr",89.285,15.8460871708112
"43","Carson Palmer","qb",273.608,15.7250845794504
"482","Jarvis Landry","wr",88.405,14.9359822101485
"4","Justin Tucker","k",148.3,14.6515744099414
"485","Larry Fitzgerald","wr",87.635,14.1396403695685
"161","Jeremy Hill","rb",139.83,13.9327983330543
"2","Mason Crosby","k",147.2,13.5139432091129
"332","Delanie Walker","te",72.665,13.4312063945072
"481","Golden Tate","wr",86.89,13.3691537835529
"44","Blake Bortles","qb",271.198,13.2326380394535
"3","Steven Hauschka","k",146.6,12.8934170995701
"486","Jordan Matthews","wr",86.43,12.8934170995701
"155","Matt Forte","rb",138.575,12.6348645539273
"334","Coby Fleener","te",71.69,12.4228514665002
"159","DeMarco Murray","rb",138.03,12.0712200044259
"333","Travis Kelce","te",71.16,11.8747200697374
"487","DeSean Jackson","wr",84.675,11.0783782291575
"5","Graham Gano","k",144.4,10.6181546979132
"45","Tyrod Taylor","qb",267.618,9.53016558584819
"6","Chris Boswell","k",143.3,9.48052349708479
"489","Donte Moncrief","wr",82.625,8.95824735488627
"337","Tyler Eifert","te",68.155,8.76691847111057
"7","Dan Bailey","k",142.5,8.65315535102773
"335","Antonio Gates","te",67.815,8.41528700903632
"490","John Brown","wr",81.965,8.27566863438919
"9","Josh Brown","k",141.9,8.03262924148495
"488","Emmanuel Sanders","wr",81.545,7.84130035770924
"336","Gary Barnidge","te",66.94,7.51035309928642
"46","Philip Rivers","qb",265.624,7.46795048180102
"8","Chandler Catanzaro","k",141.3,7.41210313194216
"47","Eli Manning","qb",265.39,7.22594529907929
"160","Matt Jones","rb",133.11,6.98290590617506
"10","Blair Walsh","k",140.8,6.89499804065651
"491","Allen Hurns","wr",80.5,6.76055071692221
"338","Ladarius Green","te",64.93,5.43159063231808
"493","Michael Crabtree","wr",78.87,5.07478811933098
"492","Devante Parker","wr",78.865,5.06961706841811
"11","Brandon McManus","k",138.3,4.30947258422822
"339","Jimmy Graham","te",63.495,3.94749902032824
"163","Ryan Mathews","rb",129.865,3.62689386373114
"162","Jeremy Langford","rb",128.92,2.64956524120126
"48","Andy Dalton","qb",259.37,1
"12","Adam Vinatieri","k",135.1,1
"164","Frank Gore","rb",127.325,1
"495","Stefon Diggs","wr",74.93,1
"340","Jason Witten","te",60.645,1
